x,y
9.0758,9.4130e-47
9.2771,8.2011e-47
9.4684,7.1885e-47
9.6637,6.3009e-47
9.8630,5.5078e-47
10.066,4.7980e-47
10.274,4.1969e-47
10.486,3.6787e-47
10.702,3.2245e-47
10.923,2.8283e-47
11.173,2.4918e-47
11.410,2.2218e-47
11.702,1.9747e-47
12.004,1.7452e-47
12.314,1.5432e-47
12.633,1.3639e-47
12.992,1.1946e-47
13.458,1.0571e-47
14.008,9.3093e-48
14.599,8.0189e-48
15.247,6.8835e-48
15.835,6.0799e-48
16.683,5.4494e-48
17.512,4.8332e-48
18.241,4.3068e-48
19.148,3.8137e-48
20.253,3.4668e-48
21.422,3.1975e-48
22.659,2.9787e-48
23.968,2.8041e-48
25.351,2.6437e-48
26.815,2.5050e-48
28.363,2.3806e-48
30.001,2.3057e-48
31.733,2.2568e-48
33.566,2.1782e-48
35.504,2.0950e-48
37.553,2.0763e-48
39.722,2.0846e-48
42.015,2.1630e-48
44.441,2.1825e-48
47.007,2.1825e-48
49.721,2.2288e-48
52.592,2.2783e-48
55.628,2.3266e-48
58.840,2.3759e-48
62.238,2.4274e-48
65.831,2.4900e-48
69.632,2.5914e-48
73.652,2.7024e-48
77.905,2.8125e-48
82.403,2.9300e-48
87.161,3.0525e-48
92.193,3.1721e-48
97.516,3.2702e-48
103.15,3.3763e-48
109.10,3.4824e-48
115.40,3.5937e-48
122.06,3.7104e-48
129.11,3.8404e-48
136.57,4.0572e-48
144.45,4.3098e-48
152.79,4.5781e-48
161.61,4.8632e-48
170.95,5.1660e-48
180.82,5.4767e-48
191.26,5.7714e-48
202.30,6.0759e-48
213.98,6.3997e-48
226.33,6.7407e-48
239.40,7.0999e-48
253.22,7.4969e-48
267.84,7.8885e-48
283.31,8.3296e-48
299.67,8.7779e-48
316.97,9.2641e-48
335.27,9.7724e-48
354.63,1.0303e-47
375.10,1.0847e-47
396.76,1.1408e-47
419.67,1.2004e-47
443.90,1.2625e-47
469.53,1.3251e-47
496.64,1.3943e-47
525.32,1.4804e-47
555.65,1.5702e-47
587.73,1.6688e-47
621.66,1.7612e-47
657.56,1.8662e-47
695.52,1.9814e-47
735.68,2.1122e-47
778.16,2.2381e-47
823.09,2.3727e-47
870.61,2.5079e-47
920.88,2.6468e-47
974.04,2.8427e-47
1030.3,3.0106e-47
1089.8,3.1869e-47
1152.7,3.3350e-47
1219.2,3.5409e-47
1289.6,3.7542e-47
1364.1,3.9996e-47
1442.9,4.2401e-47
1526.2,4.4594e-47
1614.3,4.6865e-47
1707.5,4.9246e-47
1806.1,5.3213e-47
1910.4,5.6357e-47
2020.7,5.9598e-47
2137.3,6.1656e-47
2260.7,6.5560e-47
2391.3,6.9434e-47
2529.3,7.4089e-47
2675.4,7.8115e-47
2829.8,8.1950e-47
2993.2,8.6101e-47
3166.1,9.0328e-47
3348.9,9.7060e-47
3542.2,1.0249e-46
3746.7,1.0822e-46
3963.1,1.1252e-46
4191.9,1.1952e-46
4433.9,1.2658e-46
4689.9,1.3446e-46
4960.7,1.4198e-46
5247.1,1.4962e-46
5550.1,1.5786e-46
5870.5,1.6666e-46
6209.5,1.7890e-46
6568.0,1.8995e-46
6947.2,2.0127e-46
7348.4,2.0926e-46
7772.6,2.2307e-46
8221.4,2.3769e-46
8696.1,2.5411e-46
9198.2,2.7070e-46
9750.0,2.8614e-46
10032,2.9560e-46
